"StoryID","StoryTranscript_Edited"
"1","I found one of my scientific research when Luke was sliding on the maroon leather couch it was friction but he glided very easily so i figured the leather couch must have been smooth even though he was a little rough so it must have been an inbetween friction. Not a lot but not really a little"
"2","Another friction that I found out about Troy was writing with a pencil on paper. The pencil was rough but the paper was smooth I figured it must've been an in between friction too."
"3","Today on Thursday we are running outside for PE and i noticed that we are running and it was friction because everyone's shoes were on the sidewalk and it must've been a lot of friction because the sidewalk surfaces were rough and our shoes were rough"
"4","My fourth friction story is when i was sliding on the wood floor with my socks. The socks were smooth and the wood was nice and smooth and there must have been less friction which is why I was gliding very easily"
"5","My fifth and last scientific seeing about friction my scientific story is when i picked up a stuffed animal from the coffee table and before i could pick it up it slid across. It's fur was very soft and smooth and the coffee was very smooth and i figured there must have not been very much friction"
"6","My first story on my science for the research is magnetism. I have a magnet on a board and it sticks so it is magnetism."
"7","My second story on science is when my baby cousin bounced a red ball. It was gravity i could tell because it bounced up and then came down to the ground so it was pulling."
"8","My third story is when Luke was sliding across the floor in his socks since it was very quickly since the socks and the floor was pretty smooth there wasn't much friction"
"9","My fourth voice memo on science is when someone was rolling a ball in PE across the floor, that was friction."
"10","My fifth and final story for this science experiment was when i saw someone accidentally drop their paper off their desk it floated to the ground. If there wasn't any gravity it would have stayed up but since the pull of force of gravity pulled it down that was gravity and it came down."
"11","Okay so as we're driving home in the car i'm seeing all these brake lights come on and i'm realizing that the cars are using friciton and they are having to brake or stop and they are having to use friction to stop because the wheels have to rub with the road to slow down or stop at the red lights or the stop signs. Even when they're driving friction is still in action trying to get the car to stop."
"12","For my first story as we're sitting here playing Mario Cart 8 we're having to use science because we're having to figure out the best combinations of speed, acceleration, handling traction and weight to be the best or just what we like in a race."
"13","As I'm looking out my window I'm seeing that some of the leaves on the trees are falling because of gravity because gravity is pulling htem towards the earth so leaves are falling down and this is science because gravity is one of the forces of science and when it's falling that's gravity in action."
"14","While I'm sitting on the couch im noticing my mom's water bottle and it's been sitting out for a while and I'm noticing the condensation on the water bottle because the water has been like evaporating and has been not evaporating condensing on the outside of the water bottle."
"15","Okay so as I'm turning on the lights i'm noticing science becuase when you flip the switch it makes an electrical circuit complete so and the circuit goes to the light so and it turns the lights on."
"16","As I'm playing with my remote control car the remote has to send some sort of frequency to the car and it's science because you have to use all of that technology to make that frequency to the car."
"17","As i'm listening to the radio in the car it's using science because it has to protect sound waves that reach your ears that allows us to hear the radio and whatever is playing on the radio whether it's a song or somebody talking or anything."
"18","I rolled my toy car across the room and friction slowed it down and it eventually came to a stop. I know it was friction or else the toy car would have kept going and going and going"
"19","When i kick my ball in the tall grass of our backyard it did not go very far because there was too much friction. But when i kicked the ball in the short grass of the soccerfields it went farther since it has the right amount of friction."
"20","When I'm cold i rub my hands together which creates friction which creates energy which warms up my hands"
"21","When i need to move something from one place to another..how could i do it? Well first i could use a piece of wood, put it on there and start dragging it, but that would not work very well because too much friction. But if i use a sled it would be better but still too much friction. Finally my last option is a wagon which is the greatest one to use because it has wheels which will create the right amount of friction."
"22","So when i shuffle my feet across the carpet in our livingroom it creates friction which creates energy that needs to be released. So whenever I touch something after I've shuffled my feet across the carpet, I shock it."
"23","Gravity is the force that pulls you back down so if you jumped up and down you would go up and then come back down on earth. But if you were on a planet for instance the moon you would if you jumped it would take you longer to come back down since there is less gravity. But another planet would have more gravity and when you would jump up it would pull you down faster. That is one example of gravity."
"24","When you go outside and look up and think hey look at the tree i wonder how it survives? Well if you look up and you notice that it has leaves the leaves collect sun and moisture and it creates food for the tree and that is how it survives that is called photosynthesis it is very cool to learn about."
"25","When you're outside you notice that some trees have needles and some trees have leaves. Well the trees that have leaves lose them in the winter but the trees that have needles sometimes they stay all winter. Well the reason is that the leaves are wider and have more surface area to freeze so that's why they freeze and fall off. But pine needles are smaller they have a smaller surface area and they don't need as much food and they're usually waxy covered they're wax covered so that's why pine needles stay on the tree and leaves don't."
"26","If you put on a black shirt when there is not very much sunlight you will get warmer faster because black absorbs more sun. The reason is because black is darker and it absorbs more sunlight because the sunlight wants to make it lighter so that's how it works. But if you were wearing a white tshirt on a cold day well then you would get colder because there is not as much sunlight absorbing it because it is light already."
"27","When a volcano errupts lava comes out and steam but after the volcano errupts the lava starts to go down the side of the mountain. Once it reaches the ground it starts to cool off so after it cools off enough it turns into rock and some volcanic rocks have holes in them because that's how it dried."
"28","The carpet is rougher than the tile at my house that is because there is more friction on the carpet than on the tile."
"29","When i pivoted on the basketball court i did not slide because i had friction on my shoes."
"30","I slipped and fell on the tile because my socks had no friction"
"31","My sister plays the cello and when she slides her bow across the strings she produces friction. That friction creates music."
"32","When my dog rides in the front seat of the car and my mom slams on the brakes his paws have little friction so he flies straight into the window. Poor Shadow."
"33","From rubbing the balloon on my hair makes static electricity from the friction"
"34","Rubbing a match against the match box makes a light"
"35","Lights are powered by electricity"
"36","Elevators are connected by electricity."
"37","Cars are moted by motors."
"38","Tv is powered by electricity."
"39","Okay so, i slid on the couch and jumped on the couch which makes it friction because i was running on the couch too. I was moving on the couch making big noises."
"40","So, I was sliding and jumping on the couch which makes it friction. It was also moving and squishing on the couch which was making big noises."
"41","Today i was sliding my legos together which makes it friction because i was sliding two things together"
"42","I was sliding my finger on my kindle which makes it friction because i was sliding the finger on the kindle"
"43","I heard the car rolling around the pavement which counts as friction"
"44","I saw a bike that was riding around the pavement which counts as friction."
"45","My baby cousin was bouncing the ball which makes it a matter of gracity because it was pushing the ball down."
"46","Is saw the flag blowing throught the sky which makes it motion."
"47","I saw a car moving down the road which makes it friction"
"48","I saw people jump at recess which makes it gravity."
"49","Have you ever road a sled down a snowy hill at a rapid speed? At the bottom of the hill you suddenly hit a bare sidewalk with no snow on it. What happened? Gravity helped pull you down hill, what made you stop? Another force was at work to stop you, friction makes things stop. Friction is the name of the force that is present when two things rub against each other. The sled runners in the snow were smooth so very little friction slowed your sled down hill. The side walk was rough so more friction resulted. Without friction you would have a hard time moving about without sliding. You cannot go anywhere on a car or on a bicycle because the wheels would spin around in one spot. Friction helps you by pushing against wheels to make them turn. Even the air pushing against you causes friction. Airplanes are streamlined to lessen friction. Friction, like gravity can be of help to you."
"50","Friction is a dragging force that happens when things rub against each other it can cause some painful injuries like when you scrape your knees or get a massive blister from your shoe or burn your hands sliding down a rope, OUCH. If it weren't for friction everyday would be like walking down ice. Friction happens when two surfaces are in contact and are trying to move passed each other, they catch and rub and slow each other down. This can manage them and it also uses up energy. Rough or squishy surfaces like sand paper and rubber have more friction. Smooth shiny surfaces like glass have less. When friction happens some of the move and energy gets turned into heat and the surfaces warm up, that's why your hands warm up when you rub them together on a cold day. Heat from friction is used to strike matches and also lets you start a fire by rubbing sticks together"
"51","Friction, UH OH! While a used dessert surfer [?] is missing more than a steering wheel it has no brakes! Fortunately the force of friction seems to be slowing it down. Friction is a force that counteracts motion. Friction slows objects down as they rub up against one another. As the wheels of the surfer rubs against the ground the force slows their rotation and the surfers speed but the amount of friction between the wheels and the ground is small. The speed is only reduced a little. However Whilly can create more friction by leaning back to drag the surfers back and on the ground. When there is a lot of friction moving objects slow down quickly."
"52","If you are riding your bike and you begin going down a hill the force of gravity will make you pick up speed. Have you ever thought about how a bike's brakes help you slow down or stop? That's friction at work. Friction is when one object rubs against another object. This action slows an objecys movement. If you look at a bike's brake you will see that they are little rubber pads on either side of the tire. When you use the brakes these pads apply friction to the tire, slowing the speed at which the wheels are moving."
"53","Sometimes you can see what is pushing or pulling and sometimes you can't.If you roll your toy car and it hits the wall or the couch you can see that the wall or the couch stops the car, the wall or the couch produce force that stops, if the car hits your big brother you better run! If the car doesn't hit a wall, or your big brotherr, or the couch, or the cat or anything you can see it still stops. What is pushing on the car to make it stop? A force called friction! Everything is bumpy, even things that feels smooth like glass or ice are still bumpy. You can't feel the bumps on glass because they are too small and you can't see them either but they are still there. Whenever two things rub against each other the bumps on those things rubs against each other. The force of the bumps rubbing against each other is called friction. Friction makes moving things slow down. When you roll your car the bumps on the floor push against the bumps on the car wheels a little bit, this friction is the force that stops the car."
"54","My first story is about marble, it's a kind of rock. It says marble occurs in a variety of colors depending on the purity of the original limestone. If the limestone is pure the marble is white. If there are impurities the marble can be black, green, red or yellow/brown. If the impurities were spread out unevenly the marble was spotty or marbleed. Because a marble is soft but sturdy it has been a popular building in carving stone through the ages. Unfortunately, like limestone, marble slowly disintegrates in acid rain."
"55","My second story is about water. Water is a liquid that is made up of two ingredients, hydrogen and oxygen. This special liquid has no color and no taste and no smell. Water takes the shape of whatever container it is placed in. There are three different forms of water: liquid, solid and gas. LIquid water fills our rivers and oceans, it comes out of a water fountain or faucet. It can be splashed or sprayed. When liquid water gets very cold  it freezes, frozen water becomes hard and solid we call it ice. Ice is not as heavy as liquid water but it has a shape and takes up space. Sometimes water evaporates, it dries up and turns to gas. This gas called water vapor rises into the air most of the time water vapor is invisible. It can only be seen when the temperature is very hot or very cold. Hot water vapor forms in the low clouds of steam you can see steam rising from water that is boiling on the stove. Cold water vapor appears like Mr. Fog, the clouds in the sky are made of cold water vapor. When you breathe outside on a cold day the water vapor in your breath may look like a little cloud. Water is the only substance on earth that can be found naturally in the three different forms, it can be a liquid, a solid or a gas."
