"StoryID","StoryType","RecordingContext","StoryTopic","StoryCategory","RelationToScienceConcept"
"1","1","1","49","2","1"
"2","1","1","67","2","1"
"3","1","1","44","2","1"
"4","1","1","49","1","1"
"5","1","1","49","1","3"
"6","2","1","30","2","1"
"7","2","1","23","2","1"
"8","2","1","49","2","1"
"9","2","4","42","2","1"
"10","2","2","19","2","1"
"11","1","2","7","1","1"
"12","2","1","52","1","1"
"13","2","1","17","1","3"
"14","2","3","10","1","1"
"15","2","1","13","1","2"
"16","2","1","58","1","1"
"17","2","2","50","1","1"
"18","1","1","42","1","3"
"19","1","5","28","1","1"
"20","1","1","68","1","3"
"21","1","1","65","4","1"
"22","1","1","53","1","3"
"23","2","1","31","1","1"
"24","2","1","36","3","2"
"25","2","1","60","3","2"
"26","2","1","68","3","1"
"27","2","1","61","3","2"
"28","1","1","57","1","1"
"29","1","1","49","1","1"
"30","1","1","69","1","3"
"31","1","2","49","3","1"
"32","1","2","49","3","3"
"33","1","2","53","1","1"
"34","1","2","68","1","3"
"35","2","2","13","2","1"
"36","2","1","13","2","1"
"37","2","2","13","2","1"
"38","2","1","13","2","1"
"39","1","1","49","2","1"
"40","1","1","49","1","1"
"41","1","1","49","1","1"
"42","1","1","49","1","1"
"43","1","2","42","2","1"
"44","1","2","65","2","1"
"45","2","2","6","2","1"
"46","2","1","66","2","1"
"47","2","1","42","2","1"
"48","2","1","27","2","1"
"49","1","1","48","3","1"
"50","1","1","43","3","2"
"51","1","1","65","3","1"
"52","1","1","5","3","3"
"53","1","1","42","3","1"
"54","2","1","41","3","1"
"55","2","1","63","3","2"
"56","2","1","12","3","1"
"57","2","1","46","3","1"
"58","2","1","4","3","1"
"59","1","2","55","1","1"
"60","1","4","55","2","3"
"61","1","4","42","1","3"
"62","1","1","55","2","3"
"63","1","1","8","2","1"
"64","2","1","13","2","1"
"65","2","2","24","1","2"
"66","2","2","21","2","3"
"67","1","1","55","2","3"
"68","1","1","55","1","3"
"69","1","1","2","1","1"
"70","1","1","68","1","3"
"71","1","1","42","1","3"
"72","2","5","55","1","3"
"73","2","1","39","1","3"
"74","2","1","17","1","3"
"75","2","1","42","1","3"
"76","2","1","17","1","3"
"77","1","2","42","2","3"
"78","1","2","42","1","3"
"79","1","2","6","2","3"
"80","1","2","67","1","1"
"81","1","2","55","1","1"
"82","2","4","17","1","3"
"83","2","1","17","1","3"
"84","2","2","17","2","3"
"85","2","2","64","2","1"
"86","2","2","34","1","1"
"87","1","1","19","3","1"
"88","1","1","19","2","1"
"89","1","1","19","3","1"
"90","2","2","16","1","1"
"91","2","2","9","1","2"
"92","1","1","55","2","3"
"93","1","1","28","1","3"
"94","1","1","39","1","1"
"95","1","1","65","3","3"
"96","1","1","49","3","3"
"97","1","1","22","3","3"
"98","2","1","6","2","1"
"99","2","1","31","2","1"
"100","2","1","17","2","3"
"101","2","1","39","2","2"
"102","2","1","29","4","3"
"103","1","2","17","2","3"
"104","1","1","17","2","1"
"105","1","5","3","2","1"
"106","1","2","3","2","1"
"107","1","2","17","2","3"
"108","1","5","17","2","3"
"109","2","1","49","2","3"
"110","2","1","17","2","3"
"111","1","2","55","2","3"
"112","1","2","40","2","1"
"113","1","1","49","1","3"
"114","1","2","68","1","3"
"115","1","2","68","2","1"
"116","2","2","38","2","1"
"117","2","2","56","2","1"
"118","2","1","50","2","1"
"119","2","5","21","2","1"
"120","2","2","32","2","1"
"121","1","1","49","2","1"
"122","1","1","42","2","3"
"123","1","1","49","4","3"
"124","1","1","28","4","1"
"125","1","1","49","4","1"
"126","2","1","11","2","2"
"127","2","1","17","2","1"
"128","2","1","18","2","1"
"129","2","1","45","2","1"
"130","1","1","31","2","3"
"131","1","1","31","4","3"
"132","1","1","6","2","1"
"133","1","1","31","4","1"
"134","1","1","20","4","1"
"135","2","1","68","2","1"
"136","1","1","42","2","3"
"137","1","1","2","1","3"
"138","1","1","55","1","3"
"139","1","1","55","2","1"
"140","1","1","51","2","1"
"141","2","1","55","2","3"
"142","2","1","6","2","3"
"143","2","1","19","2","1"
"144","2","1","17","2","3"
"145","2","1","31","2","1"
"146","1","1","49","2","1"
"147","1","1","26","2","1"
"148","1","2","38","2","1"
"149","1","5","62","2","1"
"150","2","1","17","2","3"
"151","2","1","35","2","1"
"152","2","1","17","2","3"
"153","2","1","17","1","1"
"154","2","1","17","1","1"
"155","2","1","17","2","1"
"156","1","1","40","2","1"
"157","2","1","39","2","1"
"158","2","1","15","3","1"
"159","2","1","10","3","2"
"160","2","1","37","3","1"
"161","2","5","41","3","1"
"162","1","1","27","4","1"
"163","1","5","17","2","1"
"164","1","1","59","4","1"
"165","1","1","47","2","1"
"166","1","2","54","2","1"
"167","2","1","33","2","1"
"168","2","1","13","2","1"
"169","2","1","14","2","1"
"170","2","1","1","2","1"
"171","2","1","10","2","1"
"172","1","5","69","2","1"
